itemid,clock,num,value_min,value_avg,value_max
23840,1519779600,60,0.0125,0.0125,0.0125
23840,1519783200,60,0.0125,0.0126,0.0150
23840,1519786800,60,0.0125,0.0128,0.0175
23840,1519790400,60,0.0125,0.0128,0.0175
23840,1519794000,60,0.0125,0.0125,0.0150
23840,1519797600,60,0.0125,0.0125,0.0125
23840,1519801200,60,0.0125,0.0127,0.0175
23840,1519804800,60,0.0125,0.0125,0.0150
23840,1519808400,60,0.0125,0.0125,0.0125
23840,1519812000,60,0.0125,0.0125,0.0150
23840,1519815600,60,0.0125,0.0127,0.0150
23840,1519819200,60,0.0125,0.0125,0.0125
23840,1519822800,60,0.0125,0.0126,0.0150
23840,1519826400,60,0.0125,0.0125,0.0150
23840,1519830000,60,0.0125,0.0125,0.0150
23840,1519833600,60,0.0125,0.0125,0.0150
23840,1519837200,60,0.0125,0.0125,0.0150
23840,1519840800,60,0.0125,0.0125,0.0150
23840,1519844400,60,0.0125,0.0126,0.0150
23840,1519848000,60,0.0125,0.0125,0.0150
23840,1519851600,60,0.0125,0.0125,0.0150
23840,1519855200,60,0.0125,0.0126,0.0150
23840,1519858800,60,0.0125,0.0126,0.0150
23840,1519862400,60,0.0125,0.0126,0.0150
23840,1519866000,60,0.0125,0.0125,0.0125
23840,1519869600,60,0.0125,0.0128,0.0175
23840,1519873200,60,0.0125,0.0126,0.0150
23840,1519876800,60,0.0125,0.0125,0.0150
23840,1519880400,60,0.0125,0.0128,0.0150
23840,1519884000,60,0.0125,0.0125,0.0125
23840,1519887600,60,0.0125,0.0125,0.0125
23840,1519891200,60,0.0125,0.0125,0.0150
23840,1519894800,60,0.0125,0.0127,0.0150
23840,1519898400,60,0.0125,0.0125,0.0150
23840,1519902000,60,0.0125,0.0125,0.0125
23840,1519905600,60,0.0125,0.0126,0.0150
23840,1519909200,60,0.0125,0.0125,0.0150
23840,1519912800,60,0.0125,0.0125,0.0150
23840,1519916400,60,0.0125,0.0125,0.0125
23840,1519920000,60,0.0125,0.0127,0.0150
23840,1519923600,60,0.0125,0.0125,0.0150
23840,1519927200,60,0.0125,0.0125,0.0125
23840,1519930800,60,0.0125,0.0126,0.0150
23840,1519934400,60,0.0125,0.0127,0.0150
23840,1519938000,60,0.0125,0.0125,0.0125
23840,1519941600,60,0.0125,0.0127,0.0150
23840,1519945200,60,0.0125,0.0125,0.0125
23840,1519948800,60,0.0125,0.0125,0.0125
23840,1519952400,60,0.0125,0.0125,0.0125
23840,1519956000,60,0.0125,0.0125,0.0125
23840,1519959600,60,0.0125,0.0125,0.0125
23840,1519963200,60,0.0125,0.0125,0.0125
23840,1519966800,60,0.0125,0.0125,0.0150
23840,1519970400,60,0.0125,0.0126,0.0150
23840,1519974000,60,0.0125,0.0126,0.0150
23840,1519977600,60,0.0125,0.0125,0.0125
23840,1519981200,60,0.0125,0.0125,0.0125
23840,1519984800,60,0.0125,0.0125,0.0150
23840,1519988400,60,0.0125,0.0125,0.0125
23840,1519992000,60,0.0125,0.0125,0.0125
23840,1519995600,60,0.0125,0.0126,0.0150
23840,1519999200,60,0.0125,0.0125,0.0150
23840,1520002800,60,0.0125,0.0125,0.0125
23840,1520006400,60,0.0125,0.0128,0.0175
23840,1520010000,60,0.0125,0.0125,0.0125
23840,1520013600,60,0.0125,0.0125,0.0125
23840,1520017200,60,0.0125,0.0127,0.0150
23840,1520020800,60,0.0125,0.0128,0.0175
23840,1520024400,60,0.0125,0.0125,0.0150
23840,1520028000,60,0.0125,0.0125,0.0125
23840,1520031600,60,0.0125,0.0125,0.0125
23840,1520035200,60,0.0125,0.0125,0.0150
23840,1520038800,60,0.0125,0.0125,0.0125
23840,1520042400,60,0.0125,0.0126,0.0150
23840,1520046000,60,0.0125,0.0128,0.0150
23840,1520049600,60,0.0125,0.0125,0.0150
23840,1520053200,60,0.0125,0.0125,0.0150
23840,1520056800,60,0.0125,0.0125,0.0125
23840,1520060400,60,0.0125,0.0125,0.0125
23840,1520064000,60,0.0125,0.0125,0.0150
23840,1520067600,60,0.0125,0.0129,0.0175
23840,1520071200,60,0.0125,0.0125,0.0150
23840,1520074800,60,0.0125,0.0125,0.0150
23840,1520078400,60,0.0125,0.0126,0.0150
23840,1520082000,60,0.0125,0.0125,0.0125
23840,1520085600,60,0.0125,0.0125,0.0125
23840,1520089200,60,0.0125,0.0125,0.0125
23840,1520092800,60,0.0125,0.0126,0.0150
23840,1520096400,60,0.0125,0.0128,0.0150
23840,1520100000,60,0.0125,0.0125,0.0125
23840,1520103600,60,0.0125,0.0125,0.0150
23840,1520107200,60,0.0125,0.0125,0.0150
23840,1520110800,60,0.0125,0.0125,0.0125
23840,1520114400,60,0.0125,0.0125,0.0150
23840,1520118000,60,0.0125,0.0125,0.0150
23840,1520121600,60,0.0125,0.0125,0.0125
23840,1520125200,60,0.0125,0.0125,0.0150
23840,1520128800,60,0.0125,0.0127,0.0150
23840,1520132400,60,0.0125,0.0125,0.0125
23840,1520136000,60,0.0125,0.0126,0.0150
23840,1520139600,60,0.0125,0.0125,0.0125
23840,1520143200,60,0.0125,0.0126,0.0150
23840,1520146800,60,0.0125,0.0125,0.0150
23840,1520150400,60,0.0125,0.0126,0.0150
23840,1520154000,60,0.0125,0.0125,0.0125
23840,1520157600,60,0.0125,0.0125,0.0125
23840,1520161200,60,0.0125,0.0125,0.0125
23840,1520164800,60,0.0125,0.0125,0.0125
23840,1520168400,60,0.0125,0.0126,0.0150
23840,1520172000,60,0.0125,0.0131,0.0175
23840,1520175600,60,0.0125,0.0126,0.0150
23840,1520179200,60,0.0125,0.0125,0.0125
23840,1520182800,60,0.0125,0.0125,0.0125
23840,1520186400,60,0.0125,0.0125,0.0150
23840,1520190000,60,0.0125,0.0125,0.0150
23840,1520193600,60,0.0125,0.0126,0.0150
23840,1520197200,60,0.0125,0.0126,0.0150
23840,1520200800,60,0.0125,0.0125,0.0150
23840,1520204400,60,0.0125,0.0126,0.0150
23840,1520208000,60,0.0125,0.0127,0.0150
23840,1520211600,60,0.0125,0.0126,0.0150
23840,1520215200,60,0.0125,0.0125,0.0125
23840,1520218800,60,0.0125,0.0126,0.0150
23840,1520222400,60,0.0125,0.0126,0.0150
23840,1520226000,60,0.0125,0.0125,0.0125
23840,1520229600,60,0.0125,0.0125,0.0125
23840,1520233200,60,0.0125,0.0125,0.0125
23840,1520236800,60,0.0125,0.0125,0.0150
23840,1520240400,60,0.0125,0.0126,0.0150
23840,1520244000,60,0.0125,0.0125,0.0150
23840,1520247600,60,0.0125,0.0134,0.0200
23840,1520251200,60,0.0125,0.0127,0.0175
23840,1520254800,60,0.0125,0.0127,0.0150
23840,1520258400,60,0.0125,0.0125,0.0150
23840,1520262000,60,0.0125,0.0125,0.0125
23840,1520265600,60,0.0125,0.0125,0.0125
23840,1520269200,60,0.0125,0.0126,0.0150
23840,1520272800,60,0.0125,0.0126,0.0150
23840,1520276400,60,0.0125,0.0125,0.0150
23840,1520280000,60,0.0125,0.0125,0.0125
